unique_id,top1_similarity,topk_mean_similarity,top1_neighbor_id,top1_neighbor_label,top1_neighbor_project,own_project
136258,0.2534,0.2264,163931,0,Chrome,Chrome
92981,0.2237,0.2065,92960,0,rdesktop,rdesktop
143229,0.979,0.5097,135312,0,Chrome,Chrome
38002,0.4996,0.3725,32210,0,linux,linux
67566,0.995,0.4533,95395,0,proftpd,proftpd
186120,0.4819,0.4109,144810,0,Chrome,Chrome
181881,1.0,0.4174,70400,1,jasper,jasper
30180,0.632,0.6157,47162,0,linux,linux
76878,0.9109,0.7293,76866,0,ovs,ovs
158156,0.4111,0.3544,169357,0,Chrome,Chrome
81444,0.5048,0.4951,24426,0,linux,linux
183907,0.2491,0.2291,87536,0,FreeRDP,Chrome
178356,0.2846,0.2181,12572,0,qemu,qemu
187608,0.4093,0.3658,73861,0,pngquant,Android
